dataset,methods,communication latency,packet loss,translation error,rotation error,AP,ATE,ASE,AOE,AVE,AMOTA,AMOTP,RECALL,MOTAR,GT,MOTA,MOTP,MT,ML,FAF,TP,FP,FN,IDS,FRAG,TID,LGD
50scenes_25m,2a1-v2x-vit,300,0,0,0,0.394,0.636,0.154,0.258,3.15,0.438,1.198,0.549,0.7,8155,0.382,0.643,21,34,91.7,4458,1339,3678,19,62,6.73,16.14
50scenes_25m,2a1-v2x-vit,400,0,0,0,0.364,0.662,0.157,0.255,3.051,0.407,1.242,0.426,0.749,8100,0.318,0.587,16,47,59.7,3445,866,4647,8,35,7.95,14.71
50scenes_25m,2a1-v2x-vit,0,0.1,0,0,0.437,0.528,0.154,0.278,3.267,0.493,1.07,0.615,0.731,8320,0.445,0.563,24,22,91.7,5069,1366,3200,51,99,5.2,13.64
50scenes_25m,2a1-v2x-vit,0,0.2,0,0,0.422,0.517,0.154,0.287,3.231,0.463,1.102,0.595,0.704,8320,0.413,0.551,23,25,96.8,4877,1442,3373,70,120,4.98,14.26
50scenes_25m,2a1-v2x-vit,0,0.3,0,0,0.412,0.507,0.151,0.292,3.173,0.458,1.092,0.597,0.69,8320,0.406,0.567,24,24,101.6,4890,1514,3353,77,152,4.92,14.43
50scenes_25m,2a1-v2x-vit,0,0.4,0,0,0.406,0.498,0.151,0.296,3.085,0.457,1.129,0.556,0.763,8320,0.418,0.548,19,28,72.6,4556,1082,3693,71,156,6.25,16.05
50scenes_25m,2a1-v2x-vit,0,0.5,0,0,0.377,0.494,0.15,0.305,3.023,0.4,1.207,0.508,0.731,8320,0.363,0.524,16,32,74.5,4132,1110,4092,96,180,6.03,17.26
50scenes_25m,2a1-v2x-vit,0,0,0.5,0,0.445,0.572,0.153,0.255,3.337,0.507,1.095,0.614,0.717,8320,0.437,0.613,23,20,96.1,5065,1432,3211,44,159,5.16,13.6
50scenes_25m,2a1-v2x-vit,0,0,1,0,0.395,0.616,0.148,0.255,3.362,0.444,1.176,0.545,0.64,8320,0.347,0.64,22,27,108.7,4503,1619,3782,35,280,6.54,14.82
50scenes_25m,2a1-v2x-vit,0,0,1.5,0,0.346,0.632,0.145,0.252,3.341,0.364,1.255,0.374,0.717,8320,0.266,0.516,13,45,58.7,3088,874,5206,26,194,10.42,21.92
50scenes_25m,2a1-v2x-vit,0,0,2,0,0.291,0.62,0.141,0.246,3.269,0.265,1.319,0.248,0.915,8320,0.227,0.283,12,67,11.7,2059,174,6256,5,36,15.41,23.8
50scenes_25m,2a1-v2x-vit,0,0,2.5,0,0.252,0.604,0.141,0.25,3.203,0.197,1.423,0.23,0.822,8320,0.189,0.255,10,68,22.8,1909,339,6403,8,40,19.54,22.52
50scenes_25m,2a1-v2x-vit,0,0,0,1,0.457,0.555,0.155,0.268,3.356,0.508,1.092,0.595,0.769,8320,0.455,0.58,25,25,76.3,4925,1137,3370,25,86,6.02,14.37
50scenes_25m,2a1-v2x-vit,0,0,0,2,0.429,0.566,0.147,0.254,3.367,0.474,1.128,0.55,0.748,8320,0.408,0.596,20,30,76.9,4543,1146,3748,29,158,7.35,15.65
50scenes_25m,2a1-v2x-vit,0,0,0,3,0.391,0.567,0.143,0.248,3.365,0.425,1.169,0.533,0.654,8320,0.344,0.596,18,32,101.7,4382,1516,3884,54,235,6.16,14.32
50scenes_25m,2a1-v2x-vit,0,0,0,4,0.373,0.568,0.142,0.251,3.355,0.407,1.203,0.506,0.641,8320,0.319,0.594,15,36,99.9,4143,1489,4107,70,253,6.49,16.5
